release_n,incumbent_accuracy,candidate_accuracy,accuracy_gain_pp,accepted,repetition
2000,0.5545,0.6215,6.700000000000006,True,0
2000,0.526,0.6085,8.250000000000002,True,1
2000,0.5205,0.6065,8.600000000000009,True,2
2000,0.507,0.6085,10.150000000000004,True,3
2000,0.5265,0.613,8.650000000000002,True,4
2000,0.5275,0.624,9.650000000000002,True,5
2000,0.54,0.6215,8.150000000000002,True,6
2000,0.5055,0.588,8.250000000000002,True,7
2000,0.5555,0.61,5.449999999999999,True,8
2000,0.5595,0.6125,5.300000000000004,True,9
2000,0.509,0.6055,9.650000000000002,True,10
2000,0.5315,0.6225,9.100000000000009,True,11
2000,0.5225,0.6045,8.200000000000006,True,12
2000,0.519,0.612,9.299999999999997,True,13
2000,0.5455,0.6185,7.300000000000006,True,14
2000,0.5355,0.6155,8.000000000000007,True,15
2000,0.5635,0.622,5.85,True,16
2000,0.5385,0.6145,7.600000000000007,True,17
2000,0.523,0.604,8.099999999999996,True,18
2000,0.522,0.602,7.9999999999999964,True,19
2000,0.5255,0.624,9.850000000000003,True,20
2000,0.5325,0.6095,7.700000000000006,True,21
2000,0.532,0.623,9.099999999999998,True,22
2000,0.518,0.6115,9.350000000000003,True,23
2000,0.53,0.5945,6.45,True,24
2000,0.5415,0.623,8.150000000000002,True,25
2000,0.512,0.5775,6.550000000000001,True,26
2000,0.517,0.6155,9.850000000000003,True,27
2000,0.5205,0.621,10.050000000000004,True,28
2000,0.521,0.597,7.599999999999996,True,29
2000,0.5545,0.617,6.25,True,30
2000,0.5125,0.6005,8.800000000000008,True,31
2000,0.547,0.6175,7.050000000000001,True,32
2000,0.5275,0.62,9.250000000000004,True,33
2000,0.512,0.5955,8.350000000000001,True,34
2000,0.537,0.6175,8.05,True,35
2000,0.5195,0.613,9.350000000000003,True,36
2000,0.5605,0.6335,7.299999999999995,True,37
2000,0.531,0.6225,9.150000000000002,True,38
2000,0.531,0.6085,7.750000000000002,True,39
2000,0.5485,0.6225,7.400000000000007,True,40
2000,0.5265,0.6,7.350000000000001,True,41
2000,0.516,0.601,8.499999999999996,True,42
2000,0.512,0.6165,10.450000000000003,True,43
2000,0.533,0.6105,7.750000000000002,True,44
2000,0.5275,0.611,8.350000000000001,True,45
2000,0.534,0.6095,7.550000000000001,True,46
2000,0.535,0.6055,7.050000000000001,True,47
2000,0.536,0.61,7.399999999999995,True,48
2000,0.5365,0.6245,8.800000000000008,True,49
2000,0.527,0.6245,9.750000000000004,True,50
2000,0.5465,0.629,8.250000000000002,True,51
2000,0.5245,0.5965,7.200000000000006,True,52
2000,0.5305,0.6195,8.900000000000007,True,53
2000,0.532,0.5915,5.949999999999999,True,54
2000,0.5285,0.6,7.15,True,55
2000,0.5175,0.5945,7.700000000000006,True,56
2000,0.5075,0.6045,9.700000000000008,True,57
2000,0.5195,0.6185,9.90000000000001,True,58
2000,0.5355,0.627,9.150000000000002,True,59
2000,0.536,0.628,9.199999999999998,True,60
2000,0.525,0.6095,8.450000000000003,True,61
2000,0.5145,0.615,10.050000000000004,True,62
2000,0.5365,0.613,7.650000000000001,True,63
2000,0.517,0.595,7.799999999999995,True,64
2000,0.5245,0.613,8.850000000000001,True,65
2000,0.5385,0.6185,8.000000000000007,True,66
2000,0.5505,0.621,7.050000000000001,True,67
2000,0.5355,0.629,9.350000000000003,True,68
2000,0.526,0.6145,8.850000000000001,True,69
2000,0.5315,0.6055,7.400000000000007,True,70
2000,0.5105,0.606,9.550000000000002,True,71
2000,0.535,0.61,7.499999999999996,True,72
2000,0.513,0.5995,8.650000000000002,True,73
2000,0.5145,0.597,8.250000000000002,True,74
2000,0.5165,0.613,9.650000000000002,True,75
2000,0.527,0.616,8.899999999999997,True,76
2000,0.5165,0.599,8.250000000000002,True,77
2000,0.54,0.621,8.099999999999996,True,78
2000,0.537,0.618,8.099999999999996,True,79
2000,0.5165,0.6025,8.600000000000009,True,80
2000,0.521,0.612,9.099999999999998,True,81
2000,0.559,0.6265,6.749999999999989,True,82
2000,0.524,0.614,8.999999999999996,True,83
2000,0.533,0.6115,7.850000000000001,True,84
2000,0.538,0.6185,8.05,True,85
2000,0.545,0.627,8.199999999999996,True,86
2000,0.5325,0.6085,7.600000000000007,True,87
2000,0.521,0.61,8.899999999999997,True,88
2000,0.51,0.61,9.999999999999998,True,89
2000,0.521,0.603,8.199999999999996,True,90
2000,0.5135,0.596,8.250000000000002,True,91
2000,0.5235,0.6035,8.000000000000007,True,92
2000,0.521,0.607,8.599999999999996,True,93
2000,0.521,0.611,8.999999999999996,True,94
2000,0.5325,0.6105,7.800000000000007,True,95
2000,0.5225,0.618,9.550000000000002,True,96
2000,0.526,0.6055,7.950000000000001,True,97
2000,0.523,0.623,9.999999999999998,True,98
2000,0.5355,0.622,8.650000000000002,True,99
2000,0.541,0.636,9.499999999999996,True,100
2000,0.5275,0.5985,7.100000000000007,True,101
2000,0.5325,0.623,9.050000000000002,True,102
2000,0.54,0.6245,8.450000000000003,True,103
2000,0.507,0.5965,8.950000000000003,True,104
2000,0.527,0.616,8.899999999999997,True,105
2000,0.5445,0.622,7.750000000000002,True,106
2000,0.5435,0.617,7.350000000000001,True,107
2000,0.521,0.6155,9.450000000000003,True,108
2000,0.5325,0.6145,8.200000000000006,True,109
2000,0.512,0.609,9.699999999999998,True,110
2000,0.533,0.6025,6.950000000000001,True,111
2000,0.5395,0.6195,8.000000000000007,True,112
2000,0.5175,0.618,10.050000000000004,True,113
2000,0.519,0.607,8.799999999999997,True,114
2000,0.5325,0.613,8.05,True,115
2000,0.5205,0.6135,9.300000000000008,True,116
2000,0.5425,0.6115,6.900000000000006,True,117
2000,0.5305,0.6005,7.000000000000006,True,118
2000,0.5125,0.602,8.950000000000003,True,119
2000,0.525,0.6125,8.750000000000002,True,120
2000,0.5415,0.6085,6.700000000000006,True,121
2000,0.529,0.61,8.099999999999996,True,122
2000,0.533,0.623,8.999999999999996,True,123
2000,0.539,0.6235,8.450000000000003,True,124
2000,0.529,0.609,7.9999999999999964,True,125
2000,0.5265,0.6065,8.000000000000007,True,126
2000,0.54,0.6175,7.750000000000002,True,127
2000,0.527,0.6045,7.750000000000002,True,128
2000,0.526,0.614,8.799999999999997,True,129
2000,0.5275,0.6025,7.500000000000007,True,130
2000,0.491,0.5855,9.450000000000003,True,131
2000,0.5305,0.6015,7.100000000000007,True,132
2000,0.5285,0.618,8.950000000000003,True,133
2000,0.5305,0.603,7.250000000000001,True,134
2000,0.5255,0.602,7.650000000000001,True,135
2000,0.52,0.607,8.699999999999996,True,136
2000,0.548,0.615,6.699999999999995,True,137
2000,0.5295,0.6205,9.100000000000009,True,138
2000,0.5265,0.6075,8.100000000000007,True,139
2000,0.5085,0.6065,9.800000000000008,True,140
2000,0.521,0.6135,9.250000000000004,True,141
2000,0.5475,0.64,9.250000000000004,True,142
2000,0.5215,0.6105,8.900000000000007,True,143
2000,0.5425,0.618,7.550000000000001,True,144
2000,0.54,0.6115,7.15,True,145
2000,0.538,0.6145,7.650000000000001,True,146
2000,0.5315,0.6185,8.700000000000008,True,147
2000,0.5275,0.6115,8.400000000000007,True,148
2000,0.53,0.6145,8.450000000000003,True,149
2000,0.532,0.6125,8.05,True,150
2000,0.5405,0.603,6.25,True,151
2000,0.5105,0.604,9.350000000000003,True,152
2000,0.528,0.6205,9.250000000000004,True,153
2000,0.536,0.617,8.099999999999996,True,154
2000,0.5275,0.6115,8.400000000000007,True,155
2000,0.5275,0.6135,8.600000000000009,True,156
2000,0.534,0.6165,8.250000000000002,True,157
2000,0.5345,0.6155,8.100000000000007,True,158
2000,0.545,0.6215,7.650000000000001,True,159
2000,0.5275,0.6115,8.400000000000007,True,160
2000,0.5205,0.6125,9.200000000000008,True,161
2000,0.5335,0.6065,7.300000000000006,True,162
2000,0.531,0.62,8.899999999999997,True,163
2000,0.5305,0.61,7.950000000000001,True,164
2000,0.5255,0.607,8.150000000000002,True,165
2000,0.537,0.623,8.599999999999996,True,166
2000,0.518,0.5975,7.950000000000001,True,167
2000,0.517,0.614,9.699999999999998,True,168
2000,0.526,0.6085,8.250000000000002,True,169
2000,0.5395,0.613,7.350000000000001,True,170
2000,0.547,0.6365,8.949999999999992,True,171
2000,0.543,0.623,7.9999999999999964,True,172
2000,0.5385,0.6165,7.800000000000007,True,173
2000,0.5545,0.609,5.449999999999999,True,174
2000,0.52,0.6025,8.250000000000002,True,175
2000,0.526,0.6,7.399999999999995,True,176
2000,0.5185,0.6085,9.000000000000007,True,177
2000,0.526,0.6115,8.550000000000002,True,178
2000,0.5445,0.6105,6.600000000000006,True,179
2000,0.5095,0.594,8.450000000000003,True,180
2000,0.527,0.6075,8.05,True,181
2000,0.518,0.602,8.399999999999997,True,182
2000,0.5365,0.6275,9.099999999999998,True,183
2000,0.54,0.6265,8.649999999999991,True,184
2000,0.5425,0.6265,8.399999999999997,True,185
2000,0.5345,0.6025,6.800000000000006,True,186
2000,0.5055,0.604,9.850000000000003,True,187
2000,0.5215,0.6005,7.9000000000000075,True,188
2000,0.5375,0.614,7.650000000000001,True,189
2000,0.522,0.6,7.799999999999995,True,190
2000,0.548,0.6305,8.249999999999991,True,191
2000,0.5195,0.5995,8.000000000000007,True,192
2000,0.551,0.624,7.299999999999995,True,193
2000,0.5415,0.61,6.8500000000000005,True,194
2000,0.5385,0.6295,9.099999999999998,True,195
2000,0.5345,0.615,8.05,True,196
2000,0.5305,0.603,7.250000000000001,True,197
2000,0.5295,0.596,6.65,True,198
2000,0.5435,0.619,7.550000000000001,True,199
