n_cases,move_budget,baseline_moved_load,operational_moved_load,baseline_move_share,operational_move_share,baseline_churn,operational_churn,baseline_accuracy,operational_accuracy,realized_gain_pp,baseline_common_value,operational_common_value,predicted_gain_pp,incumbent_correct,baseline_nfr_count,operational_nfr_count,baseline_nfr,operational_nfr,baseline_true_value,operational_true_value,conditional_gain_pp,score_error_penalty_pp,robust_lower_bound_pp,alpha,scenario,repetition,batch,release_gain_pp
300,0,0,0,0.0,0.0,0,79,0.54,0.5933333333333334,5.333333333333334,0.5444764039914057,0.6104667895871158,6.599038559571002,162,0,20,0.0,0.12345679012345678,0.538041614128525,0.6038109485036458,6.5769334375120785,3.6527897815828188,2.9462487779881834,0.0,well_estimated,0,0,9.950000000000003
300,12,12,12,0.04,0.04,26,80,0.5766666666666667,0.5933333333333334,1.6666666666666718,0.5818654596253093,0.6174066994363949,3.554123981108559,162,4,18,0.024691358024691357,0.1111111111111111,0.5754395921060598,0.610855925523961,3.541633341790118,3.7448495241184534,-0.19072554300989442,0.25,well_estimated,0,0,9.950000000000003
300,20,20,20,0.06666666666666667,0.06666666666666667,48,85,0.6,0.61,1.0000000000000009,0.606197356100027,0.619239532469032,1.3042176369004954,162,8,17,0.04938271604938271,0.10493827160493827,0.5993518809212981,0.6125962235489124,1.3244342627614314,3.9361464292521715,-2.631928792351676,0.5,well_estimated,0,0,9.950000000000003
300,24,24,24,0.08,0.08,68,86,0.5933333333333334,0.61,1.6666666666666607,0.6160264847104,0.6194101822397758,0.338369752937584,162,14,17,0.08641975308641975,0.10493827160493827,0.6097392500706,0.6130597084182837,0.3320458347683686,3.966435874369693,-3.628066121432109,0.75,well_estimated,0,0,9.950000000000003
300,26,26,26,0.08666666666666667,0.08666666666666667,85,85,0.6133333333333333,0.6133333333333333,0.0,0.6194170236183137,0.6194170236183137,0.0,162,16,16,0.09876543209876543,0.09876543209876543,0.6130581907314332,0.6130581907314332,0.0,4.003695738006511,-4.003695738006511,1.0,well_estimated,0,0,9.950000000000003
300,0,0,0,0.0,0.0,0,86,0.5133333333333333,0.59,7.666666666666666,0.5239798847512904,0.605972965703364,8.199308095207359,154,0,16,0.0,0.1038961038961039,0.5194790123525254,0.6017350288080844,8.225601645555901,3.709278273570697,4.490029821636662,0.0,well_estimated,0,1,9.950000000000003
300,7,7,7,0.023333333333333334,0.023333333333333334,41,89,0.5633333333333334,0.5833333333333334,2.0000000000000018,0.5799297216623333,0.6103817176317536,3.0451995969420387,154,7,19,0.045454545454545456,0.12337662337662338,0.5764904610387042,0.6061579141585762,2.9667453119872067,3.805161455443424,-0.7599618585013852,0.25,well_estimated,0,1,9.950000000000003
300,11,11,11,0.03666666666666667,0.03666666666666667,63,89,0.5733333333333334,0.5833333333333334,1.0000000000000009,0.5997771352606971,0.6113687435567058,1.1591608296008693,154,13,20,0.08441558441558442,0.12987012987012986,0.595397416540527,0.6078008987875675,1.2403482247040465,3.8829286590180674,-2.723767829417198,0.5,well_estimated,0,1,9.950000000000003
300,11,11,11,0.03666666666666667,0.03666666666666667,80,89,0.5833333333333334,0.5833333333333334,0.0,0.6098517823051665,0.6113687435567058,0.15169612515393283,154,17,20,0.11038961038961038,0.12987012987012986,0.6054144866891785,0.6078008987875675,0.2386412098388968,3.8912804655084314,-3.7395843403544986,0.75,well_estimated,0,1,9.950000000000003
300,14,14,14,0.04666666666666667,0.04666666666666667,90,90,0.5866666666666667,0.5866666666666667,0.0,0.6114484019070945,0.6114484019070945,0.0,154,20,20,0.12987012987012986,0.12987012987012986,0.6076405346919901,0.6076405346919901,0.0,3.9317965124543495,-3.9317965124543495,1.0,well_estimated,0,1,9.950000000000003
300,0,0,0,0.0,0.0,0,87,0.5266666666666666,0.5666666666666667,4.0000000000000036,0.5161154959516393,0.5876938442177198,7.157834826608045,158,0,23,0.0,0.14556962025316456,0.5115439384395135,0.5819451602765003,7.040122183698683,3.7654617815231384,3.392373045084907,0.0,well_estimated,0,2,9.950000000000003
300,5,5,5,0.016666666666666666,0.016666666666666666,31,86,0.5566666666666666,0.58,2.3333333333333317,0.5529010045682209,0.5912998580544354,3.8398853486214524,158,6,21,0.0379746835443038,0.13291139240506328,0.5470227494397428,0.5856865056885088,3.8663756248765946,3.8967085121791984,-0.05682316355774608,0.25,well_estimated,0,2,9.950000000000003
